"","signature","padj","comparison","method","ln_padj"
"948","LS_v_NL_post_DP",9.93226760650263e-20,"eso_high_dupi","GSEA",43.7559130487294
"949","NL_DP_W16",0.0297494780793319,"eso_high_dupi","GSEA",3.51494369069626
"950","NL_Plac_W16",2.04606657542449e-05,"eso_high_dupi","GSEA",10.797006258662
"951","NL_pre_post_DPL",1.1390775472072e-07,"eso_high_dupi","GSEA",15.9878768852224
"952","core_transcriptomic_signature",0.0200093576100266,"eso_high_dupi","GSEA",3.91155523434877
"953","dynamic_transcriptomic_signature",0.00259539632570151,"eso_high_dupi","GSEA",5.95401604735857
"954","serum_AD_eosinophil_high_pre_v_post_DP",5.25300301177436e-25,"eso_high_dupi","GSEA",55.9058274095358
"955","serum_AD_eosinophil_low_v_high_BSL",1.23915407175189e-15,"eso_high_dupi","GSEA",34.3243474482983
"956","serum_AD_m3_v_m0_DP",3e-49,"eso_high_dupi","GSEA",111.72805726804
"957","serum_AD_v_healthy_BSL",0.0139050575604708,"eso_high_dupi","GSEA",4.27550265175276
"958","type2high_v_type2low",0.0436058470230096,"eso_high_dupi","GSEA",3.13256403158623
"959","LS_Dup_W16",2.54125416719192e-05,"eso_low_dupi","GSEA",10.5802677391914
"960","LS_Plac_W16",0.00205705119821231,"eso_low_dupi","GSEA",6.18648177887273
"961","LS_pre_post_DPL",0.0176828304029673,"eso_low_dupi","GSEA",4.03516114392021
"962","LS_v_NL_BSL",1.03032560537255e-06,"eso_low_dupi","GSEA",13.7856356839577
"963","LS_v_NL_DP_W0",0.0376717676452217,"eso_low_dupi","GSEA",3.27884433389751
"964","LS_v_NL_plac_W0",0.00197812390167747,"eso_low_dupi","GSEA",6.22560640786603
"965","LS_v_NL_plac_W16",0.000193600606142978,"eso_low_dupi","GSEA",8.54971325222288
